% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.300727350e+001 +3.300727350e+001 +1.606727350e+001 +1.606727350e+001 +5.8260e-001 -2.5833e-001 +2.0841e+000 +1.3662e+000 +4.9508e-001 -1.9680e+000 +6.1906e-001 +7.7210e-001 +9.9265e-001 -1.1745e-002
15 +2.235637106e+001 +2.235637106e+001 +5.416371059e+000 +5.416371059e+000 +4.4335e-001 +3.6790e-001 +4.9520e-001 +7.4104e-001 -5.6001e-001 -3.0207e-002 +1.4984e+000 +4.6277e-001 +1.2497e+000 +4.8842e-001
38 +1.026157377e+001 +1.026157377e+001 -6.678426225e+000 -6.678426225e+000 +1.7710e+000 +9.2511e-001 +5.5988e-001 +4.6791e-001 +2.7754e+000 -1.9967e+000 +1.0050e+000 +8.2617e-001 -1.1895e+000 -2.9474e-001
167 +9.767259366e+000 +9.767259366e+000 -7.172740634e+000 -7.172740634e+000 +2.7105e+000 +1.0844e+000 +3.5113e-001 +2.6291e+000 +5.0950e-001 -4.1809e-001 +2.0050e+000 +8.2340e-001 +1.9812e-001 -1.1382e+000
239 +5.961377845e+000 +5.961377845e+000 -1.097862216e+001 -1.097862216e+001 +2.3310e+000 +1.5813e+000 -1.2327e+000 +3.0582e+000 +2.0717e-001 +7.2248e-002 +2.5810e+000 -1.3007e+000 -8.2092e-002 -1.9219e+000
480 +3.636100683e+000 +3.636100683e+000 -1.330389932e+001 -1.330389932e+001 +1.8581e+000 +3.0088e+000 -3.9220e-001 +1.1346e+000 +1.5165e+000 -9.9904e-001 +2.5183e+000 -1.3080e+000 -5.3377e-001 -4.8499e-001
482 +2.177742704e+000 +2.177742704e+000 -1.476225730e+001 -1.476225730e+001 +2.9581e+000 +2.3171e+000 -1.9290e+000 +2.1066e+000 +1.8093e+000 -1.8700e+000 +2.3437e+000 -1.9697e+000 -1.4930e-001 -1.7961e+000
555 +1.547007936e+000 +1.547007936e+000 -1.539299206e+001 -1.539299206e+001 +2.7873e+000 +2.7271e+000 -8.8601e-001 +1.2144e+000 +9.7472e-001 -1.1438e+000 +3.0400e+000 -2.0602e+000 -1.0952e-001 -1.6900e+000
1230 +7.348471576e-001 +7.348471576e-001 -1.620515284e+001 -1.620515284e+001 +3.7004e+000 +2.4349e+000 -1.5139e+000 +1.2991e+000 +1.7277e+000 -1.2127e+000 +3.3929e+000 -2.4107e+000 -3.5835e-001 -1.7315e+000
1531 +5.108030574e-001 +5.108030574e-001 -1.642919694e+001 -1.642919694e+001 +3.6203e+000 +2.5834e+000 -1.5008e+000 +1.2882e+000 +1.1332e+000 -1.8258e+000 +3.6959e+000 -2.4206e+000 -4.4621e-001 -2.0083e+000
1986 +3.322346192e-001 +3.322346192e-001 -1.660776538e+001 -1.660776538e+001 +3.5602e+000 +2.3543e+000 -1.5137e+000 +1.5031e+000 +1.3615e+000 -1.8314e+000 +3.3133e+000 -2.4434e+000 -3.1012e-001 -1.9307e+000
2524 +2.348215522e-001 +2.348215522e-001 -1.670517845e+001 -1.670517845e+001 +3.6428e+000 +2.6361e+000 -1.4864e+000 +1.4950e+000 +1.3108e+000 -1.8625e+000 +3.4029e+000 -2.2950e+000 -3.9571e-001 -2.1166e+000
2891 +1.332172524e-001 +1.332172524e-001 -1.680678275e+001 -1.680678275e+001 +3.6260e+000 +2.5367e+000 -1.4942e+000 +1.4459e+000 +1.3447e+000 -1.8813e+000 +3.4529e+000 -2.3129e+000 -3.7404e-001 -2.0615e+000
3338 +7.219542073e-002 +7.219542073e-002 -1.686780458e+001 -1.686780458e+001 +3.6690e+000 +2.5321e+000 -1.4756e+000 +1.4121e+000 +1.3591e+000 -1.9136e+000 +3.4888e+000 -2.3604e+000 -4.2907e-001 -2.0430e+000
3718 +5.356102011e-002 +5.356102011e-002 -1.688643898e+001 -1.688643898e+001 +3.6543e+000 +2.5408e+000 -1.5051e+000 +1.4181e+000 +1.3978e+000 -1.8519e+000 +3.5067e+000 -2.3364e+000 -3.3524e-001 -2.0207e+000
4451 +3.157206842e-002 +3.157206842e-002 -1.690842793e+001 -1.690842793e+001 +3.6633e+000 +2.5622e+000 -1.5315e+000 +1.4619e+000 +1.3948e+000 -1.9018e+000 +3.5035e+000 -2.3382e+000 -3.7152e-001 -2.0346e+000
4923 +2.288629749e-002 +2.288629749e-002 -1.691711370e+001 -1.691711370e+001 +3.6588e+000 +2.5474e+000 -1.5337e+000 +1.4620e+000 +1.4012e+000 -1.9152e+000 +3.5054e+000 -2.3465e+000 -3.6571e-001 -2.0423e+000
5730 +1.557330744e-002 +1.557330744e-002 -1.692442669e+001 -1.692442669e+001 +3.6634e+000 +2.5433e+000 -1.5235e+000 +1.4637e+000 +1.3871e+000 -1.9055e+000 +3.4952e+000 -2.3495e+000 -3.7537e-001 -2.0300e+000
5815 +9.539702422e-003 +9.539702422e-003 -1.693046030e+001 -1.693046030e+001 +3.6526e+000 +2.5497e+000 -1.5317e+000 +1.4683e+000 +1.3950e+000 -1.9145e+000 +3.5039e+000 -2.3497e+000 -3.7965e-001 -2.0361e+000
6419 +5.372389370e-003 +5.372389370e-003 -1.693462761e+001 -1.693462761e+001 +3.6565e+000 +2.5507e+000 -1.5256e+000 +1.4702e+000 +1.3944e+000 -1.9063e+000 +3.5029e+000 -2.3494e+000 -3.8447e-001 -2.0361e+000
7098 +3.624755218e-003 +3.624755218e-003 -1.693637524e+001 -1.693637524e+001 +3.6567e+000 +2.5496e+000 -1.5272e+000 +1.4697e+000 +1.3960e+000 -1.9080e+000 +3.5017e+000 -2.3519e+000 -3.8311e-001 -2.0356e+000
